Name,Group,Institution,Field,Awards,CNS_total,CNS_avg_per_yr,CNS_years_covered,CNS_gap_years,NeuronNatNeuro_total,eLife_total,nonCNS_total,Lab_start_year,First_senior_paper,Career_stage,Count_source,Authorship_measure,Career_reference_year,Lab_age_source,Count_fetched_at,Count_method_version,Researcher_ID,Publication_model,Identity_status,Current_institution,Institution_status,HHMI_status,HHMI_source_status,Topics,Methods,Model_organisms,Model_organism_status,Paper_species_mentions,Contribution_titles,Contribution_keywords,Contribution_status,Contribution_review_status,Contribution_review_reason,Active_years_in_window,CNS_per_active_year,Unresolved_papers,Source_URLs,Review_notes,Faculty_appointment_year,Faculty_appointment_status,CNS_2016,CNS_2017,CNS_2018,CNS_2019,CNS_2020,CNS_2021,CNS_2022,CNS_2023,CNS_2024,CNS_2025
Salil Bidaye,early-career awardee,Max Planck Florida Institute for Neuroscience,neuroscience (awardee),Klingenstein-Simons,1,0.1,1,2016;2017;2018;2019;2020;2021;2022;2023;2025,0,0,0,,2024,rising (<=6y),unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,first-paper proxy,2026-09-05T03:55:18+00:00,3,pi_c6009394ddec5371b690558a56280d99,unified-papers,unreviewed,,unreviewed roster label,,unknown,Neural circuits and behavior,Connectomics,,unknown,Drosophila,Descending neurons for Drosophila backward walking; Two brain pathways for distinct forward walking programs; Context-specific halting mechanisms in Drosophila walking,backward walking; BPN neurons; brake neurons; connectome-informed models; context-specific halting; courtship pursuit; descending commands; Drosophila locomotion; Drosophila walking direction; feeding and grooming; forward walking; MAN neurons; MDN neurons; P9 neurons; walk-OFF mechanism,source-backed examples,complete,"Selected full-name Drosophila locomotor-control papers with distinct backward, forward, and halting circuit findings.",,,0,https://pubmed.ncbi.nlm.nih.gov/24700860/; https://pubmed.ncbi.nlm.nih.gov/32822613/; https://pubmed.ncbi.nlm.nih.gov/39358520/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model.",,unknown,0,0,0,0,0,0,0,0,1,0
Marco Gallio,early-career awardee,Northwestern University,neuroscience (awardee),Pew Biomedical,1,0.1,1,2016;2017;2018;2019;2020;2021;2022;2023;2024,1,0,7,,2015,early (<=10y),unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,first-paper proxy,2026-09-05T03:56:12+00:00,3,pi_9b646cfbb1fe5ee7b5f7669616dd99d0,unified-papers,unreviewed,,unreviewed roster label,,unknown,Cellular and molecular neuroscience; Learning and memory; Neural circuits and behavior; Sensory systems; Sleep and circadian rhythms,Electrophysiology; Imaging and microscopy,,unknown,Drosophila,Showed early integration of temperature and humidity in the Drosophila brain; Defined a Drosophila circuit encoding absolute cold temperature; Showed robustness and plasticity in Drosophila heat avoidance,cold temperature; Drosophila; Drosophila antenna; Drosophila thermosensation; Gr28B.d; heat avoidance; higher brain centers; humidity sensing; innate behavior; IR40a neurons; plasticity; sensory circuit; sensory integration; temperature sensing; temporal scales,source-backed examples,complete,Selected source-backed full-name primary contributions with team credit and bounded scope; unrelated or review-like candidates were skipped.,,,0,https://pubmed.ncbi.nlm.nih.gov/28736172/; https://pubmed.ncbi.nlm.nih.gov/32442464/; https://pubmed.ncbi.nlm.nih.gov/33824330/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model.",,unknown,0,0,0,0,0,0,0,0,0,1
Michael A. Crickmore,early-career awardee,Boston Children's Hospital,neuroscience (awardee),Pew Biomedical,1,0.1,1,2016;2017;2018;2019;2020;2021;2022;2023;2025,4,0,7,,2016,early (<=10y),unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,first-paper proxy,2026-09-05T03:56:15+00:00,3,pi_4f4914353cba57b0b08bd3571acddc47,unified-papers,unreviewed,,unreviewed roster label,,unknown,Computation and cognition; Neural circuits and behavior,Computational modeling,,unknown,Drosophila,"Mapped dopaminergic circuitry underlying Drosophila mating drive; Showed opposing dopaminergic and GABAergic neurons control copulation persistence; Showed motivation, perception, and chance converge in a courtship decision",behavioral termination; copulation persistence; courtship decision; dopamine circuitry; dopaminergic neurons; Drosophila; GABAergic neurons; mating drive; motivation; P1 neurons; reproductive state; sensory-motor processing; stochastic neural events,source-backed examples,complete,Selected source-backed full-name primary contributions with team credit and bounded scope; unrelated or review-like candidates were skipped.,,,0,https://pubmed.ncbi.nlm.nih.gov/24209625/; https://pubmed.ncbi.nlm.nih.gov/27292538/; https://pubmed.ncbi.nlm.nih.gov/29983326/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model.",,unknown,0,0,0,0,0,0,0,0,1,0
Victoria Abraira,early-career awardee,Rutgers University,neuroscience (awardee),Pew Biomedical,1,0.1,1,2016;2017;2018;2019;2020;2021;2022;2024;2025,2,0,5,,2021,rising (<=6y),unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,first-paper proxy,2026-09-05T03:56:23+00:00,3,pi_fb233d6f07145ea2b8bb88c80762b6c0,unified-papers,unreviewed,,unreviewed roster label,,unknown,Cellular and molecular neuroscience; Learning and memory; Motor systems; Neural circuits and behavior; Sensory systems,Computational modeling; Electrophysiology; Optogenetics; Sequencing and transcriptomics,,unknown,Mouse,Mapped functional organization of cutaneous low-threshold mechanosensory neurons; Defined cellular and synaptic architecture of the mechanosensory dorsal horn; Identified cellular and molecular basis of direction-selective Aδ-LTMR touch responses,Aδ-LTMRs; direction selectivity; hair deflection; hairy skin; low-threshold mechanoreceptors; LTMR-recipient zone; mechanosensory dorsal horn; mechanosensory neurons; mouse genetic tools; somatosensory afferents; spinal cord; tactile processing; touch,source-backed examples,complete,Selected source-backed full-name primary contributions with team credit and bounded scope; unrelated or review-like candidates were skipped.,,,0,https://pubmed.ncbi.nlm.nih.gov/22196735/; https://pubmed.ncbi.nlm.nih.gov/25525881/; https://pubmed.ncbi.nlm.nih.gov/28041852/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model.",,unknown,0,0,0,0,0,0,0,1,0,0
Gilad D. Evrony,early-career awardee,NYU Grossman School of Medicine,neuroscience (awardee),Pew Biomedical,1,0.1,1,2016;2017;2018;2019;2020;2021;2022;2023;2025,0,0,5,,2020,rising (<=6y),unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,first-paper proxy,2026-09-05T03:56:24+00:00,3,pi_7c6dd5688685591491aa1279667566df,unified-papers,unreviewed,,unreviewed roster label,,unknown,Cellular and molecular neuroscience,Imaging and microscopy; Sequencing and transcriptomics,,unknown,,Developed single-neuron genome sequencing to study L1 retrotransposition and somatic mutation; Used neuronal somatic mutations to track developmental and transcriptional history; Used endogenous retroelements for human brain cell-lineage analysis,cell lineage; cerebral cortex; developmental lineage; endogenous retroelements; genomic mosaicism; human brain; L1 retrotransposition; single human neurons; single neurons; single-neuron sequencing; somatic mutation; somatic mutations; somatic SNVs; transcriptional history,source-backed examples,complete,Selected source-backed full-name primary contributions with team credit and bounded scope; unrelated or review-like candidates were skipped.,,,0,https://pubmed.ncbi.nlm.nih.gov/23101622/; https://pubmed.ncbi.nlm.nih.gov/25569347/; https://pubmed.ncbi.nlm.nih.gov/26430121/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model.",,unknown,0,0,0,0,0,0,0,0,1,0
Seth Shipman,early-career awardee,Gladstone Institutes,neuroscience (awardee),Pew Biomedical,1,0.1,1,2016;2017;2018;2019;2020;2021;2023;2024;2025,0,0,11,,2021,rising (<=6y),unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,first-paper proxy,2026-09-05T03:56:40+00:00,3,pi_a4442d299425525b903053c2336334de,unified-papers,unreviewed,,unreviewed roster label,,unknown,Computation and cognition; Learning and memory,Computational modeling; Imaging and microscopy,,unknown,,Introduced molecular recording by directed CRISPR spacer acquisition; Encoded digital images and a movie into living bacterial genomes with CRISPR-Cas; Developed rapid neurogenesis through transcriptional activation in human stem cells,cellular history; CRISPR spacer acquisition; CRISPR-Cas; digital movie; DNA information storage; genomic encoding; genomic record; human stem cells; living cells; molecular recording; neuronal differentiation; rapid neurogenesis; reprogramming; synthetic biology; transcriptional activation,source-backed examples,complete,Selected source-backed full-name primary contributions with team credit and bounded scope; unrelated or review-like candidates were skipped.,,,0,https://pubmed.ncbi.nlm.nih.gov/25403753/; https://pubmed.ncbi.nlm.nih.gov/27284167/; https://pubmed.ncbi.nlm.nih.gov/28700573/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model.",,unknown,0,0,0,0,0,0,1,0,0,0
Michael Sheehan,early-career awardee,Cornell University,neuroscience (awardee),NIH DP2,1,0.1,1,2016;2017;2018;2019;2020;2021;2022;2023;2024,0,0,28,,,unknown,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:56:50+00:00,3,pi_90d9cb856f7552cba2c666447ccbee4e,unified-papers,unreviewed,,unreviewed roster label,,unknown,Cellular and molecular neuroscience; Computation and cognition; Learning and memory; Neural circuits and behavior; Sensory systems,Sequencing and transcriptomics,,unknown,Mouse; Rat,Human prefrontal white matter is disproportionately enlarged relative to other primates; Paper wasp individual recognition is associated with specialized face learning; Human faces show morphological and genomic signatures consistent with identity signaling,cerebral volume; connectional elaboration; face learning; frequency-dependent selection; human brain evolution; human facial variation; individual identity; individual recognition; paper wasps; Polistes fuscatus; population genomics; prefrontal white matter; primate MRI; social cognition; social evolution,source-backed examples,complete,Selected full-name Michael J. Sheehan contributions in brain evolution and individual-recognition/social-signal evolution; Michael P. Sheehan clinical namesakes were excluded.,,,0,https://pubmed.ncbi.nlm.nih.gov/15665874/; https://pubmed.ncbi.nlm.nih.gov/22144625/; https://pubmed.ncbi.nlm.nih.gov/25226282/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model. | Excluded 4 different-given-name candidates; review aliases if any exclusion is unexpected.",,unknown,0,0,0,0,0,0,0,0,0,1
Michael Tadross,early-career awardee,Duke University,neuroscience (awardee),NIH DP2,1,0.1,1,2016;2018;2019;2020;2021;2022;2023;2024;2025,0,0,3,,,unknown,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:57:06+00:00,3,pi_2ea9c7dcbb415ef385db05dcc19ce2cf,unified-papers,unreviewed,,unreviewed roster label,,unknown,Cellular and molecular neuroscience; Neural circuits and behavior; Neurodegeneration and aging,Electrophysiology; Optogenetics,,unknown,Mouse; Rat,CaMPARI labels active neural circuits with temporally gated calcium-dependent photoconversion; Sequential calcium influx and channel conformational signaling drive neuronal gene expression; DART restricts pharmacological manipulation to defined cell types in behaving animals,active circuit labeling; AMPAR antagonist; calcium integrator; calcium signaling; CaMPARI; CaV1.2 channels; cell-specific pharmacology; DART; dorsal striatum; neuronal gene expression; parkinsonian akinesia; photoconversion; Timothy syndrome; voltage-dependent conformational change; zebrafish flies mice,source-backed examples,complete,"Selected full-name Michael R. Tadross contributions in activity labeling, calcium-channel signaling, and cell-specific pharmacology.",,,0,https://pubmed.ncbi.nlm.nih.gov/25678659/; https://pubmed.ncbi.nlm.nih.gov/26912895/; https://pubmed.ncbi.nlm.nih.gov/28385956/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model.",,unknown,0,1,0,0,0,0,0,0,0,0
Talia Lerner,early-career awardee,Northwestern University,neuroscience (awardee),NIH DP2,1,0.1,1,2016;2017;2019;2020;2021;2022;2023;2024;2025,0,0,9,,,unknown,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:57:12+00:00,3,pi_66916e7aa6f45ce98102aa330b6cb38f,unified-papers,unreviewed,,unreviewed roster label,,unknown,Computation and cognition; Learning and memory; Motor systems; Neural circuits and behavior; Neurodegeneration and aging; Sleep and circadian rhythms,MRI and neuroimaging; Optogenetics,,unknown,Mouse,SNc dopamine neurons form parallel nigrostriatal information streams; Basomedial amygdala mediates prefrontal top-down control of anxiety and fear; Nucleus accumbens D2R cells encode prior outcomes and causally control risky choice,anxiety; basomedial amygdala; D2R cells; dorsolateral striatum; dorsomedial striatum; fear freezing; fiber photometry; nigrostriatal circuits; nucleus accumbens; optogenetics; prior outcomes; risky decision-making; SNc dopamine neurons; top-down control; ventral medial prefrontal cortex,source-backed examples,complete,"Selected full-name Talia N. Lerner circuit contributions in dopamine subcircuits, top-down affect control, and risky decision-making.",,,0,https://pubmed.ncbi.nlm.nih.gov/26232229/; https://pubmed.ncbi.nlm.nih.gov/26536109/; https://pubmed.ncbi.nlm.nih.gov/27007845/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model.",,unknown,0,0,1,0,0,0,0,0,0,0
Andrew Leifer,early-career awardee,Princeton University,neuroscience (awardee),NIH DP2,1,0.1,1,2016;2017;2018;2019;2020;2021;2022;2024;2025,1,4,13,,,unknown,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:57:15+00:00,3,pi_5955e1c64b5655ee999a033121c42e12,unified-papers,unreviewed,,unreviewed roster label,,unknown,Cellular and molecular neuroscience; Computation and cognition; Learning and memory; Motor systems; Neural circuits and behavior; Sensory systems; Sleep and circadian rhythms,Calcium imaging; Computational modeling; Connectomics; Electrophysiology; Imaging and microscopy; MRI and neuroimaging; Optogenetics,,unknown,C. elegans; Drosophila,"Whole-brain calcium imaging at cellular resolution in freely behaving C. elegans; Optogenetic perturbation created a functional signal-propagation atlas of C. elegans neurons; Automated computer vision tracks neurons in a moving, deforming C. elegans brain",C. elegans; computer vision; deforming brain; extrasynaptic signaling; freely behaving animals; GCaMP6s; locomotion; Neuron Registration Vector Encoding; neuron tracking; optogenetic activation; signal propagation atlas; whole-brain calcium imaging,source-backed examples,complete,Selected full-name Andrew M. Leifer tools and discoveries for whole-brain C. elegans neural activity measurement and interpretation.,,,0,https://pubmed.ncbi.nlm.nih.gov/26712014/; https://pubmed.ncbi.nlm.nih.gov/28545068/; https://pubmed.ncbi.nlm.nih.gov/37914938/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model.",,unknown,0,0,0,0,0,0,0,1,0,0
Loren L. Looger,HHMI,"University of California, San Diego",Neuroscience (HHMI),,0,0.0,0,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,0,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:41:08+00:00,3,pi_16d056df686b5c6fb711ad05686d3e28,unified-papers,unreviewed,,unreviewed roster label,Listed in legacy HHMI cohort,unreviewed,,,,unknown,,GCaMP3 calcium indicator for neural activity imaging; GCaMP6 ultrasensitive fluorescent calcium sensors; rAAV2-retro access to projection neurons,calcium sensors; circuit interrogation; dendritic spines; directed evolution; GCaMP3; GCaMP6; genetically encoded calcium indicators; in vivo imaging; projection neurons; rAAV2-retro; retrograde access; single action potentials; single-spike detection; visual cortex; worms flies mice,source-backed examples,complete,"Selected full-name matched examples emphasizing widely used protein sensors and viral access tools, avoiding redundant sensor follow-ups.",,,0,https://pubmed.ncbi.nlm.nih.gov/19898485/; https://pubmed.ncbi.nlm.nih.gov/23868258/; https://pubmed.ncbi.nlm.nih.gov/27720486/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model.",,unknown,0,0,0,0,0,0,0,0,0,0
Jeremy Nathans,HHMI,The Johns Hopkins University,Neuroscience (HHMI),,0,0.0,0,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,1,11,30,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:41:17+00:00,3,pi_688f3590b97d510f96a6ffee63b93ea0,unified-papers,unreviewed,,unreviewed roster label,Listed in legacy HHMI cohort,unreviewed,Cellular and molecular neuroscience; Development; Glia and neuroimmunology; Learning and memory; Motor systems; Neural circuits and behavior; Sensory systems,Imaging and microscopy; Sequencing and transcriptomics,,unknown,C. elegans; Mouse,Norrin-Frizzled4 signaling in retinal vascular and barrier development; Frizzled genes in neural tube closure and inner-ear planar polarity; Brn3 transcription factors program retinal ganglion cell diversity,blood-retina barrier; Brn3a; Brn3b; canonical Wnt signaling; dendritic stratification; Frizzled3; Frizzled4; Frizzled6; inner-ear hair cells; neural tube closure; Norrin; planar cell polarity; retinal ganglion cells; retinal vasculature; visual behavior,source-backed examples,complete,Selected full-name matched developmental neurobiology and CNS vascular-signaling examples with distinct biological scope.,,,0,https://pubmed.ncbi.nlm.nih.gov/15035989/; https://pubmed.ncbi.nlm.nih.gov/16495441/; https://pubmed.ncbi.nlm.nih.gov/19323995/; https://pubmed.ncbi.nlm.nih.gov/23217714/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model.",,unknown,0,0,0,0,0,0,0,0,0,0
Elizabeth C. Engle,HHMI,Boston Children's Hospital,Neuroscience (HHMI),,0,0.0,0,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,21,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:41:43+00:00,3,pi_57057fbd553056fa83aac788d7984c3d,unified-papers,unreviewed,,unreviewed roster label,Listed in legacy HHMI cohort,unreviewed,Cellular and molecular neuroscience; Development; Learning and memory; Motor systems; Sensory systems,Imaging and microscopy; MRI and neuroimaging; Organoids and stem-cell models; Sequencing and transcriptomics,,unknown,Human; Mouse; Zebrafish,SALL4 mutations causing Duane radial ray syndrome; ROBO3 mutations disrupting human hindbrain axon crossing; TUBB3 syndromes linking microtubule dynamics to axon guidance,abducens motoneurons; axon guidance; CFEOM3; Duane syndrome; HGPPS; hindbrain axon guidance; kinesin interactions; microtubule dynamics; midline crossing; Okihiro syndrome; radial ray anomalies; ROBO3; SALL4; scoliosis; TUBB3,source-backed examples,complete,Selected full-name matched human neurodevelopmental genetics papers tied to ocular motility and axon guidance.,,,0,https://pubmed.ncbi.nlm.nih.gov/12395297/; https://pubmed.ncbi.nlm.nih.gov/15105459/; https://pubmed.ncbi.nlm.nih.gov/20074521/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model.",,unknown,0,0,0,0,0,0,0,0,0,0
Erik M. Jorgensen,HHMI,The University of Utah,Neuroscience (HHMI),,0,0.0,0,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,2,1,16,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:42:21+00:00,3,pi_f5d9cee3e5f85f9fb402cdefb7257967,unified-papers,unreviewed,,unreviewed roster label,Listed in legacy HHMI cohort,unreviewed,Cellular and molecular neuroscience; Computation and cognition; Sensory systems,Connectomics; Imaging and microscopy,,unknown,C. elegans; Mouse; Rat,Single-copy transgene insertion in C. elegans; Ultrafast endocytosis at hippocampal synapses; Conserved DLK MAP kinase pathway required for axon regeneration,axon regeneration; C. elegans motor neurons; C. elegans transgenes; defined genomic sites; DLK-1 MAP kinase; dynamin; flash-and-freeze EM; growth cone migration; mosSCI; single-copy insertion; synaptic vesicle recycling; ultrafast endocytosis,source-backed examples,complete,"Selected full-name C. elegans genetics and synapse-biology papers with distinct tool, mechanism and regeneration scope.",,,0,https://pubmed.ncbi.nlm.nih.gov/18953339/; https://pubmed.ncbi.nlm.nih.gov/19164707/; https://pubmed.ncbi.nlm.nih.gov/24305055/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model.",,unknown,0,0,0,0,0,0,0,0,0,0
Michael N. Shadlen,HHMI,Columbia University,Neuroscience (HHMI),,0,0.0,0,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,5,6,17,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:43:12+00:00,3,pi_1ae9ff8ca284507db9e336a02ea0abe1,unified-papers,unreviewed,,unreviewed roster label,Listed in legacy HHMI cohort,unreviewed,Computation and cognition; Learning and memory; Motor systems; Neural circuits and behavior; Sensory systems,Imaging and microscopy; MRI and neuroimaging; Optogenetics,,unknown,Human; Mouse; Nonhuman primates,LIP neurons accumulate sensory evidence during perceptual decisions; Parietal decision neurons encode graded confidence; Accumulated evidence can drive post-decision changes of mind,changes of mind; choice certainty; decision bounds; decision confidence; evidence accumulation; hand trajectories; lateral intraparietal area; motion discrimination; opt-out choice; parietal cortex; post-decision evidence; random-dot motion; reaction time; rhesus monkey; self-correction,source-backed examples,complete,"Selected decision-making contributions with full-name Michael N. Shadlen authorship, separating neural evidence accumulation, confidence coding, and post-decision changes of mind.",,,0,https://pubmed.ncbi.nlm.nih.gov/12417672/; https://pubmed.ncbi.nlm.nih.gov/19423820/; https://pubmed.ncbi.nlm.nih.gov/19693010/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model.",,unknown,0,0,0,0,0,0,0,0,0,0
Tzumin Lee,HHMI,University of Michigan,Neuroscience (HHMI),,0,0.0,0,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,3,3,18,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T04:36:49+00:00,3,pi_da35d0badf9b53b1a26c82288388fec0,unified-papers,source-backed,University of Michigan,source-backed current profile,HHMI Investigator (official profile lists 2022-present),source-backed,Computation and cognition; Development; Glia and neuroimmunology; Learning and memory,Imaging and microscopy; Organoids and stem-cell models; Sequencing and transcriptomics,,unknown,Drosophila; Human; Mouse; Zebrafish,Dual binary transcription systems extend MARCM analysis in Drosophila neural mosaics; Chinmo gradients specify birth-order-dependent neuronal identities in fly brain lineages; Clonal lineage analysis mapped diverse antennal-lobe neuron architectures,antennal lobe; Chinmo; Drosophila MARCM; Drosophila neuroblasts; Drosophila olfactory map; dual-expression-control; genetic mosaic; LexA VP16; local interneurons; MARCM; mushroom body lineages; neural lineage analysis; projection neuron lineages; projection neurons; temporal identity,source-backed examples,complete,"Selected full-name Tzumin Lee contributions that distinguish a genetic mosaic method, temporal neuronal identity, and Drosophila olfactory-lineage mapping.",,,0,https://pubmed.ncbi.nlm.nih.gov/16582903/; https://pubmed.ncbi.nlm.nih.gov/17055440/; https://pubmed.ncbi.nlm.nih.gov/18653555/; https://regents.umich.edu/files/meetings/02-22/2022-02-IV-1.pdf#page=12; https://www.hhmi.org/scientists/tzumin-lee; https://www.janelia.org/news/two-former-janelia-group-leaders-named-hhmi-investigators; https://www.lsi.umich.edu/science/our-labs/t-lee-lab/tzumin-lee-md-phd,Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model. | Excluded 31 different-given-name candidates; review aliases if any exclusion is unexpected.,2000,source-backed,0,0,0,0,0,0,0,0,0,0
Diana Bautista,HHMI,"University of California, Berkeley",Neuroscience (HHMI),,0,0.0,0,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,0,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:43:22+00:00,3,pi_0ab635e7a5e8534f8b4580daee656ecf,unified-papers,unreviewed,,unreviewed roster label,Listed in legacy HHMI cohort,unreviewed,,,,unknown,,TRPA1 transduction of irritants and inflammatory pain signals; TRPM8 as a principal detector of environmental cold; Epithelial TSLP activation of sensory neurons to drive itch,atopic dermatitis; cold thermosensation; environmental irritants; inflammatory pain; itch; keratinocyte-neuron signaling; menthol receptor; mustard oil; nociceptors; peripheral nervous system; sensory neurons; TRPA1; TRPA1-positive sensory neurons; TRPM8; TSLP,source-backed examples,complete,"Selected full-name matched primary research on peripheral sensory transduction and itch, combining closely related TRPA1 irritant evidence.",,,0,https://pubmed.ncbi.nlm.nih.gov/14712238/; https://pubmed.ncbi.nlm.nih.gov/16564016/; https://pubmed.ncbi.nlm.nih.gov/17538622/; https://pubmed.ncbi.nlm.nih.gov/24094650/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model.",,unknown,0,0,0,0,0,0,0,0,0,0
Constance L. Cepko,HHMI,Harvard Medical School,Neuroscience (HHMI),,0,0.0,0,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,7,30,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:43:29+00:00,3,pi_1f65f439c1a85444a8fb7831f4e557a4,unified-papers,unreviewed,,unreviewed roster label,Listed in legacy HHMI cohort,unreviewed,Cellular and molecular neuroscience; Development; Glia and neuroimmunology; Neural circuits and behavior; Neurodegeneration and aging; Sensory systems,Connectomics; Imaging and microscopy; Organoids and stem-cell models; Sequencing and transcriptomics,,unknown,Drosophila; Human; Mouse; Zebrafish,Retinal cell types alter gene expression during cone death in rd1 degeneration; AAV8 promoter and injection timing shape retinal cell-type expression; T-box transcription factors regulate regional gene expression and photoreceptor patterning,AAV8 vectors; chick retina; cone degeneration; gene expression responses; Muller glia; photoreceptor death; photoreceptor patterning; photoreceptors; rd1 mouse retina; retinal promoters; subretinal injection; Tbx2; Tbx3; Tbx5,source-backed examples,complete,Selected full-name Constance Cepko retinal and viral-method papers; older initials-only lineage candidates were not used because the batch alone did not independently establish identity.,,,0,https://pubmed.ncbi.nlm.nih.gov/17251487/; https://pubmed.ncbi.nlm.nih.gov/26427452/; https://pubmed.ncbi.nlm.nih.gov/41679618/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model. | Excluded 2 different-given-name candidates; review aliases if any exclusion is unexpected.",,unknown,0,0,0,0,0,0,0,0,0,0
